"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"68F8NUG2","journalArticle","1972","Abernethy, Peter L.","Entropy In Pynchon’s <i>The Cring of Lot 49</i>","Critique: Studies in Contemporary Fiction","","0011-1619, 1939-9138","10.1080/00111619.1972.10690022","http://www.tandfonline.com/doi/abs/10.1080/00111619.1972.10690022","","1972-12","2024-03-29 22:22:50","2024-03-29 22:22:50","2024-03-29 22:22:50","18-33","","2","14","","Critique: Studies in Contemporary Fiction","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3H92MW3","journalArticle","2002","Clarici, A.; Travan, L.; Accardo, A.; De Vonderweid, U.; Bava, A.","Crying of a Newborn Child: Alarm Signal or Protocommunication?","Perceptual and Motor Skills","","0031-5125, 1558-688X","10.2466/pms.2002.95.3.752","http://journals.sagepub.com/doi/10.2466/pms.2002.95.3.752","The purpose of the study was to explore whether the new-born cry is a simple alarm signal or differentiated cries with different meanings 12 digital audio taped recordings of 6 full-term healthy babies were analysed. Cries of 6 newborns in this preliminary study were recorded in a pain condition after a prick for the hematic check-up the third day after delivery and then while crying spontaneously in the cradle. The sounds were sampled at 44100 Hz with a 16-bit resolution and converted to the way format. All the analyses were performed with a software written in the MATLAB© environment. The most important result was that these new-born children modulated the supralaryngeal tract considerably more in cries following the painful stimulus than in “spontaneous” ones, as would be expected by the hypothesis of crying as “protolanguage.”","2002-12","2024-03-29 22:22:51","2024-03-29 22:22:51","2024-03-29 22:22:51","752-754","","3","95","","Percept Mot Skills","Crying of a Newborn Child","","","","","","","en","http://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB3MTRWJ","bookSection","2018","Hall, Alice","21 Disability and the Short Story","The Edinburgh Companion to the Short Story in English","978-1-4744-0066-4","","","https://www.degruyter.com/document/doi/10.1515/9781474400664-024/html","","2018-12-05","2024-03-29 22:22:52","2024-03-29 22:22:52","2024-03-29 22:22:52","346-362","","","","","","","","","","","Edinburgh University Press","","","","","","","DOI.org (Crossref)","","DOI: 10.1515/9781474400664-024","","","","","","","","","","","Delaney, Paul; Hunter, Adrian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCZZDZSV","book","2018","Horn, Robyn","The Sculpture of Robyn Horn","","978-1-61075-641-9 978-1-68226-066-1","","","http://www.jstor.org/stable/10.2307/j.ctv4s7k1b","","2018-09-01","2024-03-29 22:22:53","2024-03-29 22:22:53","2024-03-29 22:22:53","","","","","","","","","","","","University of Arkansas Press","","","","","","","DOI.org (Crossref)","","DOI: 10.2307/j.ctv4s7k1b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAKLCIKQ","journalArticle","2002","Clarici, A.; Travan, L.; Accardo, A.; De Vonderweid, U.; Bava, A.","Crying of a Newborn Child: Alarm Signal or Protocommunication?","Perceptual and Motor Skills","","0031-5125, 1558-688X","10.2466/pms.2002.95.3.752","http://journals.sagepub.com/doi/10.2466/pms.2002.95.3.752","The purpose of the study was to explore whether the new-born cry is a simple alarm signal or differentiated cries with different meanings 12 digital audio taped recordings of 6 full-term healthy babies were analysed. Cries of 6 newborns in this preliminary study were recorded in a pain condition after a prick for the hematic check-up the third day after delivery and then while crying spontaneously in the cradle. The sounds were sampled at 44100 Hz with a 16-bit resolution and converted to the way format. All the analyses were performed with a software written in the MATLAB© environment. The most important result was that these new-born children modulated the supralaryngeal tract considerably more in cries following the painful stimulus than in “spontaneous” ones, as would be expected by the hypothesis of crying as “protolanguage.”","2002-12","2024-03-29 22:24:13","2024-03-29 22:24:13","2024-03-29 22:24:13","752-754","","3","95","","Percept Mot Skills","Crying of a Newborn Child","","","","","","","en","http://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ITE4E58A","journalArticle","1972","Abernethy, Peter L.","Entropy In Pynchon’s <i>The Cring of Lot 49</i>","Critique: Studies in Contemporary Fiction","","0011-1619, 1939-9138","10.1080/00111619.1972.10690022","http://www.tandfonline.com/doi/abs/10.1080/00111619.1972.10690022","","1972-12","2024-03-29 23:15:39","2024-03-29 23:15:39","2024-03-29 23:15:39","18-33","","2","14","","Critique: Studies in Contemporary Fiction","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X226P8YG","journalArticle","2009","Aghoro, Nathalie","Bilocated Identities: Taking the Fork in the Road in Against the Day","aspeers: emerging voices in american studies","","18658768, 21997284","10.54465/aspeers.02-04","http://www.aspeers.com/2009/aghoro?fulltext","Offering one of the first critical receptions on identity in Thomas Pynchon’s latest novel beyond the reviews, this paper seeks to show that bilocation, a fictional disposition affecting personal mobility in Against The Day, brings up the question of what we are by suggesting what we could be. It investigates how the novel redefines and enlarges concepts of identity by exploring several aspects of sameness and selfhood exposed to a very special kind of migration: Being in two places, countries, or worlds at the same time, a multiplicity of characters in Against The Day opt for the excluded middle when a fork in the road presents itself. The paper investigates these new forms of identity in the novel and explores their impact on philosophical concepts such as the notion of a seamless continuity of identity, the role of subjectivity for identity, and the concept of a narrative identity.","2009","2024-03-29 23:15:41","2024-03-29 23:15:41","2024-03-29 23:15:41","33-52","","","2","","aspeers","Bilocated Identities","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/DV7FXMPK/Aghoro - 2009 - Bilocated Identities Taking the Fork in the Road .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YKU22A5P","journalArticle","1987","Ahmad, Aijaz","Jameson's Rhetoric of Otherness and the ""National Allegory""","Social Text","","01642472","10.2307/466475","https://www.jstor.org/stable/466475?origin=crossref","","1987","2024-03-29 23:15:42","2024-08-23 19:40:47","2024-03-29 23:15:42","3-25","","17","","","Social Text","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YML26DHT","journalArticle","2003","Alexander, Victoria N.","<i>The Crying of Lot 49</i> and C. S. Peirce's Theory of Self-Organization","Pynchon Notes","","0278-1891","10.16995/pn.50","http://pynchonnotes.openlibhums.org/article/id/2505/","","2003-09-22","2024-03-29 23:15:43","2024-08-23 16:02:24","2024-03-29 23:15:43","23-39","","0","0","","","","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/7TJ44NMJ/Alexander - 2003 - The Crying of Lot 49 and C. S. Peirce's The.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6HU4STN","journalArticle","1991","White, Daniel R. (Daniel Ray)","Literary Ecology and Postmodernity in Thomas Sanchez's Mile Zero and Thomas Pynchon's Vineland","Postmodern Culture","","1053-1920","10.1353/pmc.1991.0039","https://muse.jhu.edu/article/27330","","1991-09","2024-03-29 23:15:45","2024-03-29 23:15:45","2024-03-29 23:15:45","","","1","2","","pmc","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YZ67PC9A","journalArticle","1994","Allen, Glen Scott","Raids on the Conscious: Pynchon's Legacy of Paranoia and the Terrorism of Uncertainty in Don DeLillo's Ratner's Star","Postmodern Culture","","1053-1920","10.1353/pmc.1994.0001","https://muse.jhu.edu/article/27438","","1994-01","2024-03-29 23:15:46","2024-03-29 23:15:46","2024-03-29 23:15:46","","","2","4","","pmc","Raids on the Conscious","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBC8NHQK","journalArticle","1990","Ames, Christopher","Power and the Obscene Word: Discourses of Extremity in Thomas Pynchon's ""Gravity's Rainbow""","Contemporary Literature","","00107484","10.2307/1208586","http://www.jstor.org/stable/1208586?origin=crossref","","1990","2024-03-29 23:15:47","2024-08-23 19:40:56","2024-03-29 23:15:47","191-207","","2","31","","Contemporary Literature","Power and the Obscene Word","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3PCYPJDK","journalArticle","1990","Ames, Sanford S.","Coming Home: Pynchon's Morning in America","Pynchon Notes","","0278-1891","10.16995/pn.278","http://pynchonnotes.openlibhums.org/article/id/2662/","","1990-09-22","2024-03-29 23:15:48","2024-08-23 16:09:08","2024-03-29 23:15:48","115-123","","0","0","","","Coming Home","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/RHI5NFGG/Ames - 1990 - Coming Home Pynchon's Morning in America.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PURXKVEH","journalArticle","2021","Andersen, Tore Rye","Back to Gondwanaland: Deep Time and Planetarity in Thomas Pynchon’s <i>Gravity’s Rainbow</i> and Cormac McCarthy’s <i>Blood Meridian</i>","Critique: Studies in Contemporary Fiction","","0011-1619, 1939-9138","10.1080/00111619.2020.1772714","https://www.tandfonline.com/doi/full/10.1080/00111619.2020.1772714","","2021-01-01","2024-03-29 23:15:49","2024-03-29 23:15:49","2024-03-29 23:15:49","97-111","","1","62","","Critique: Studies in Contemporary Fiction","Back to Gondwanaland","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/SBX2MIVR/Andersen - 2021 - Back to Gondwanaland Deep Time and Planetarity in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VG3GFKKZ","journalArticle","2013","Andersen, Tore Rye","Distorted Transmissions. Towards a Material Reading of Thomas Pynchon's <i>The Crying of Lot 49</i>","Orbis Litterarum","","0105-7510, 1600-0730","10.1111/oli.12007","https://onlinelibrary.wiley.com/doi/10.1111/oli.12007","Drawing on various theories of the materiality and mediality of literature, the essay argues that a focus on the material history of any given literary work can provide a more nuanced understanding of various literary historical processes than traditional textual analysis. Taking different physical editions of Thomas Pynchon's               The Crying of Lot 49               as its starting point, the essay traces the constantly evolving exchanges between the progressive material incarnations of Pynchon's novel and the cultural context, laying bare some of the complex literary historical, cultural, and institutional processes that contributed to the canonization of               The Crying of Lot 49               .","2013-04","2024-03-29 23:15:50","2024-03-29 23:15:50","2024-03-29 23:15:50","110-142","","2","68","","Orbis Litterarum","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGHXFP7Y","journalArticle","2016","Andersen, Tore Rye","Mapping the World: Thomas Pynchon's Global Novels","Orbit: A Journal of American Literature","","2398-6786","10.16995/orbit.178","https://orbit.openlibhums.org/article/doi/10.16995/orbit.178/","","2016-01-20","2024-03-29 23:15:51","2024-08-23 23:22:17","2024-03-29 23:15:51","1-40","","1","4","","","Mapping the World","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/Y97EY7AM/Andersen - 2016 - Mapping the World Thomas Pynchon's Global Novels.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WB8W869K","journalArticle","2006","Apter, E.","On Oneworldedness: Or Paranoia as a World System","American Literary History","","0896-7148, 1468-4365","10.1093/alh/ajj022","https://academic.oup.com/alh/article-lookup/doi/10.1093/alh/ajj022","","2006-03-01","2024-03-29 23:15:54","2024-03-29 23:15:54","2024-03-29 23:15:54","365-389","","2","18","","American Literary History","On Oneworldedness","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMKZIJ2W","journalArticle","1998","Arich, Friedrich","Dogsical Reading: <i>Gravity's Rainbow's</i> Reversals and Reader Response Criticism","Pynchon Notes","","0278-1891","10.16995/pn.153","http://pynchonnotes.openlibhums.org/article/id/2473/","","1998-09-22","2024-03-29 23:15:55","2024-08-23 16:09:25","2024-03-29 23:15:55","292-302","","0","0","","","Dogsical Reading","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/U9ARBYYC/Arich - 1998 - Dogsical Reading Gravity's Rainbow's Rever.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EPIGPTE","journalArticle","2008","Arich-Gerz, Bruno; Herman, Luc","Encountering the Other at Home: Representations of Dora in Pynchon and Mirbach","Pynchon Notes","","0278-1891","10.16995/pn.31","http://pynchonnotes.openlibhums.org/article/id/2701/","","2008-09-22","2024-03-29 23:15:56","2024-08-23 16:09:36","2024-03-29 23:15:56","122-135","","0","0","","","Encountering the Other at Home","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/3KQD6THE/Arich-Gerz and Herman - 2008 - Encountering the Other at Home Representations of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3WDJ9FR","journalArticle","2004","Arich-Gerz, Bruno","The Comet and the Rocket: Intertextual Constellations about Technological Progress in Bruno Schulz's ""Kometa"" and Thomas Pynchon's Gravity's Rainbow","Comparative Literature Studies","","1528-4212","10.1353/cls.2004.0016","https://muse.jhu.edu/article/170868","","2004","2024-03-29 23:15:58","2024-03-29 23:15:58","2024-03-29 23:15:58","231-256","","2","41","","cls","The Comet and the Rocket","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EWHJ23EV","journalArticle","1991","Ashe, Frederick","Anachronism Intended: <i>Gravity's Rainbow</i> in the Sociopolitical Sixties","Pynchon Notes","","0278-1891","10.16995/pn.258","http://pynchonnotes.openlibhums.org/article/id/2517/","","1991-09-22","2024-03-29 23:15:59","2024-08-23 16:09:49","2024-03-29 23:15:59","59-75","","0","0","","","Anachronism Intended","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/HU5DMSSY/Ashe - 1991 - Anachronism Intended Gravity's Rainbow in .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWRQGBDE","journalArticle","1990","Ashley, David","Marx and the Excess of the Signifier: Domination as Production and as Simulation","Sociological Perspectives","","0731-1214, 1533-8673","10.2307/1388981","http://journals.sagepub.com/doi/10.2307/1388981","Lyotard's and Baudrillard's explicit and implied critiques of the effects of so-called “postmodernity” on the applicability of the Marxist emancipatory narrative are evaluated. This paper concludes that the Marxist critique of modernist forms of hegemony still has validity but that we must now acknowledge that Marxism is a modernist, not a universal, theoretical practice. The significance of this for contemporary Marxist critique is further analyzed.","1990-03","2024-03-29 23:16:00","2024-03-29 23:16:00","2024-03-29 23:16:00","129-146","","1","33","","Sociological Perspectives","Marx and the Excess of the Signifier","","","","","","","en","http://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VA274366","journalArticle","2003","Caesar, Terry; Aso, Takashi","Japan, Creative Masochism, and Transnationality in <i>Vineland</i>","Critique: Studies in Contemporary Fiction","","0011-1619, 1939-9138","10.1080/00111610309598890","http://www.tandfonline.com/doi/abs/10.1080/00111610309598890","","2003-01","2024-03-29 23:16:01","2024-03-29 23:16:01","2024-03-29 23:16:01","371-387","","4","44","","Critique: Studies in Contemporary Fiction","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42L9CZJZ","journalArticle","2003","Aso, Takashi","Pynchon's Alternative Ethics of Writing in <i>V.</i>: The Problem of Authorship in the ""Confessions of Fausto Maijstral""","Pynchon Notes","","0278-1891","10.16995/pn.49","http://pynchonnotes.openlibhums.org/article/id/2707/","","2003-09-22","2024-03-29 23:16:02","2024-08-23 16:10:03","2024-03-29 23:16:02","7-22","","0","0","","","Pynchon's Alternative Ethics of Writing in <i>V.</i>","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/846ALEMF/Aso - 2003 - Pynchon's Alternative Ethics of Writing in V..pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJEQVBBM","journalArticle","1996","Assmann, Aleida","Texts, Traces, Trash: The Changing Media of Cultural Memory","Representations","","0734-6018","10.2307/2928711","https://online.ucpress.edu/representations/article/doi/10.2307/2928711/82695/Texts-Traces-Trash-The-Changing-Media-of-Cultural","","1996-10-01","2024-03-29 23:16:04","2024-03-29 23:16:04","2024-03-29 23:16:04","123-134","","","56","","","Texts, Traces, Trash","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5MXNEK9I","journalArticle","2004","Attewell, Nadine","""Bouncy Little Tunes"": Nostalgia, Sentimentality, and Narrative in Gravity's Rainbow","Contemporary Literature","","1548-9949","10.1353/cli.2004.0002","http://muse.jhu.edu/content/crossref/journals/contemporary_literature/v045/45.1attewell.html","","2004","2024-03-29 23:16:05","2024-03-29 23:16:05","2024-03-29 23:16:05","22-48","","1","45","","Contemporary Literature","""Bouncy Little Tunes""","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/4EJB4ZZW/Attewell - 2004 - Bouncy Little Tunes Nostalgia, Sentimentality, .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AI9NMZCS","journalArticle","1994","Baker, Peter","The Terrorist as Interpreter: Mao II in Postmodern Context","Postmodern Culture","","1053-1920","10.1353/pmc.1994.0002","https://muse.jhu.edu/article/27439","","1994-01","2024-03-29 23:16:09","2024-03-29 23:16:09","2024-03-29 23:16:09","","","2","4","","pmc","The Terrorist as Interpreter","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3PNV7XJ","journalArticle","1983","Lakomski, Gabriele","Ways of Knowing and Ways of Evaluating: Or How Democratic is ‘Democratic Evaluation’?","Journal of Curriculum Studies","","0022-0272, 1366-5839","10.1080/0022027830150303","https://www.tandfonline.com/doi/full/10.1080/0022027830150303","","1983-07","2024-03-29 23:16:11","2024-03-29 23:16:11","2024-03-29 23:16:11","265-276","","3","15","","Journal of Curriculum Studies","Ways of Knowing and Ways of Evaluating","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BLSHLMCG","journalArticle","1995","Barnes, Geraldine","Vínland the Good: Paradise Lost?","Parergon","","1832-8334","10.1353/pgn.1995.0117","https://muse.jhu.edu/article/476000","","1995-01","2024-03-29 23:16:11","2024-03-29 23:16:11","2024-03-29 23:16:11","75-96","","2","12","","pgn","Vínland the Good","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMBSPISR","journalArticle","1988","Barnett, Stuart","Refused Readings: Narrative and History in ""The Secret Integration""","Pynchon Notes","","0278-1891","10.16995/pn.319","http://pynchonnotes.openlibhums.org/article/id/2651/","","1988-09-22","2024-03-29 23:16:12","2024-08-23 15:58:13","2024-03-29 23:16:12","79-85","","0","0","","","Refused Readings","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSL6DFQT","journalArticle","1988","Battesti, Anne","""And it all goes along to the same jolly song"" : Chansons et poèmes dans Gravity's Rainbow","Recherches anglaises et nord-américaines","","0557-6989","10.3406/ranam.1988.1185","https://www.persee.fr/doc/ranam_0557-6989_1988_num_21_1_1185","Dans Gravity’s Rainbow, le divertissement des chansons et poèmes donne lieu à des interférences entre formes en vers et en prose, entre voix et écriture : contamination mais discordance où, sur les ruines d'une parole poétique pleine et légère comme le chant, se lisent le malheur et la force de l'écriture de Pynchon.           ,              The songs and poems in Gravity's Rainbow are this diversion which allows for interferences between verse and prose, between the sung and the written words : contamination yet discordance exhibiting, after the loss of a ""warm circle of song"", what both plagues and nourrishes Pynchon's mode of writing.","1988","2024-03-29 23:16:13","2024-03-29 23:16:13","2024-03-29 23:16:13","5-12","","1","21","","ranam","""And it all goes along to the same jolly song""","","","","","","","fr","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHDJ6UZV","journalArticle","1992","Battestini, Anne","Pynchon : voix, lieux communs","Revue française d’études américaines","","0397-7870","10.3406/rfea.1992.1832","https://www.persee.fr/doc/rfea_0397-7870_1992_num_54_1_1832","The inscription of voices in Pynchon's texts serves a mutual subversion of the written and the spoken words which affects discursive mastery. In Gravity's Rainbow, impersonated or contaminated voices point to a haunting dispossession inflicted on the shifting addressees as well as on the reader. The voice of « We », carried and dissipated by Pynchon, is light with insignificance but sings that meaning resides neither in presence nor in death.","1992","2024-03-29 23:16:14","2024-03-29 23:16:14","2024-03-29 23:16:14","365-376","","1","54","","rfea","Pynchon","","","","","","","fr","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6N8UXR2A","journalArticle","2001","Baucom, Ian","Globalit, Inc.; or, The Cultural Logic of Global Literary Studies","PMLA/Publications of the Modern Language Association of America","","0030-8129, 1938-1530","10.1632/pmla.2001.116.1.158","https://www.cambridge.org/core/product/identifier/S0030812900105103/type/journal_article","“Charter'd Companies may indeed be the form the world has now increasingly begun to take,” announces Charles Mason in Thomas Pynchon's 1997 novel               Mason and Dixon.               Taking that cryptic comment as a starting point and drawing on Giovanni Arrighi's account of the recurrent organization of capital by metropolitan “spaces-of-flows,” this essay investigates what it might mean for Mason's comment to be true of both his late-eighteenth-century moment and the late-twentieth-century moment of the novel's publication and asks what such a reading of the “form [of] the world” implies for contemporary attempts to rethink literary study under the sign of the global. The essay offers “laws” of such a global form (expansion contracts, contraction enriches, enrichment haunts) and deploys them to read the two modes of globalized literary study that have achieved dominance of late: global literary study as method and as project—the key method in question understood here as a type of global historicism and the key project as the appeal to reconfigure literary study as the study of something called global literature.","2001-01","2024-03-29 23:16:15","2024-03-29 23:16:15","2024-03-29 23:16:15","158-172","","1","116","","Publ. Mod. Lang. Assoc. Am.","","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZK3JKZ2","journalArticle","1986","Baylon, Daniel","The Crying of Lot 49 : vrai roman et faux policier ?","Caliban","","0575-2124","10.3406/calib.1986.1191","https://www.persee.fr/doc/calib_0575-2124_1986_num_23_1_1191","","1986","2024-03-29 23:16:16","2024-03-29 23:16:16","2024-03-29 23:16:16","111-125","","1","23","","calib","The Crying of Lot 49","","","","","","","fr","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXHIXU25","journalArticle","2018","Beitzel, Constance","Mrs. Oedipa Maas: Motherhood, Originality, and Meaning in The Crying of Lot 49","Journal of the Midwest Modern Language Association","","2162-6294","10.1353/mml.2018.0003","https://muse.jhu.edu/article/728196","","2018","2024-03-29 23:16:17","2024-03-29 23:16:17","2024-03-29 23:16:17","197-220","","1","51","","Journal of the Midwest Modern Language Association","Mrs. Oedipa Maas","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNFXLXKN","journalArticle","1992","Benoit, Raymond","Slothrop Unbound: Shelley's Prometheus and <i>Gravity's Rainbow</i>","Pynchon Notes","","0278-1891","10.16995/pn.243","http://pynchonnotes.openlibhums.org/article/id/2769/","","1992-09-22","2024-03-29 23:16:18","2024-08-23 16:11:57","2024-03-29 23:16:18","188-191","","0","0","","","Slothrop Unbound","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/PBEP5SWK/Benoit - 1992 - Slothrop Unbound Shelley's Prometheus and Grav.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GIUZLGQ","journalArticle","1998","Benton, Graham","Riding the Interface: An Anarchist Reading of <i>Gravity's Rainbow</i>","Pynchon Notes","","0278-1891","10.16995/pn.146","http://pynchonnotes.openlibhums.org/article/id/2741/","","1998-09-22","2024-03-29 23:16:20","2024-08-23 16:17:06","2024-03-29 23:16:20","152-166","","0","0","","","Riding the Interface","","","","","","","","https://creativecommons.org/licenses/authors","","","","DOI.org (Crossref)","","","","/Users/erik/Zotero/storage/9JZEMYQR/Benton - 1998 - Riding the Interface An Anarchist Reading of G.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRJBGZ9N","journalArticle","1995","Berger, James","Cultural Trauma and the ""Timeless Burst"": Pynchon's Revision of Nostalgia in Vineland","Postmodern Culture","","1053-1920","10.1353/pmc.1995.0020","https://muse.jhu.edu/article/27520","","1995-05","2024-03-29 23:16:24","2024-03-29 23:16:24","2024-03-29 23:16:24","","","3","5","","pmc","Cultural Trauma and the ""Timeless Burst""","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
